epoch,accuracy,loss,val_accuracy,val_loss
0,0.37697205,1.3241684554258675,0.4351585,1.267477898845068
1,0.6324384,0.9904297037762089,0.6599424,0.9186594233732746
2,0.7935234,0.5944709572111045,0.69740635,0.796734985597539
3,0.8408525,0.42977794630356586,0.6887608,0.7865239742509913
4,0.8715749,0.34281869856663894,0.7146974,0.8166048363581171
5,0.89952946,0.28860552821369206,0.685879,0.8410955481982713
6,0.92277884,0.23477069876826176,0.67723346,0.93049126915011
7,0.9366178,0.19919401763995334,0.7002882,0.9441469768625859
8,0.94851923,0.17239664239696015,0.6887608,1.010529292763482
9,0.9543316,0.14774190873905724,0.6801153,1.1342564407274427
10,0.9634653,0.1301668891134171,0.6801153,1.1122925841499132
11,0.9651259,0.11823217064315449,0.67723346,1.1789390968658051
12,0.9690008,0.10556174928119827,0.67146975,1.2316701570230533
13,0.9654027,0.10466992633699249,0.6743516,1.2663556773655695
14,0.97232217,0.0906107825408294,0.6628242,1.3204126787460504
15,0.97342926,0.08659437397139705,0.67146975,1.3671711329424416
16,0.97259897,0.08731019256882412,0.6628242,1.378081841839837
17,0.9753667,0.08107420807890439,0.6599424,1.4478948353346899
18,0.9781345,0.0736263240456845,0.64841497,1.4602704103123558
19,0.9756435,0.07833583109284946,0.64841497,1.4636622918098736
20,0.9781345,0.06799264561200354,0.66570604,1.5334885731897712
21,0.9781345,0.06827575267351073,0.6570605,1.599462150496777
22,0.9770274,0.06952773230116832,0.6368876,1.5829347313652808
23,0.9767506,0.06860726673365848,0.65129685,1.6675462880807925
24,0.9767506,0.06098044015531094,0.6426513,1.636960741422362
